time,x,y,z
1561,279,281,156
1562,279,281,157
1563,277,281,158
1564,276,281,157
1565,278,281,156
1566,279,281,155
1567,278,281,158
1568,277,281,159
1569,277,281,157
1570,279,280,156
1571,279,281,158
1572,277,280,158
1573,277,281,156
1574,278,281,157
1575,279,280,156
1576,278,281,158
1577,277,280,159
1578,277,280,157
1579,279,280,156
1580,279,281,158
1581,278,280,158
1582,277,281,157
1583,279,281,157
1584,280,280,156
1585,278,281,158
1586,277,281,159
1587,279,281,156
1588,279,281,156
1589,279,281,158
1590,278,280,158
1591,278,281,157
1592,279,281,156
1593,279,281,156
1594,278,279,158
1595,277,281,158
1596,278,281,156
1597,278,281,156
1598,280,281,157
1599,279,281,158
1600,277,281,157
1601,278,282,155
1602,279,281,156
1603,277,281,158
1604,277,281,159
1605,278,281,156
1606,279,280,156
1607,279,279,158
1608,277,280,158
1609,277,280,157
1610,279,281,156
1611,279,280,157
1612,277,281,158
1613,277,281,158
1614,278,281,156
1615,279,280,156
1616,279,281,158
1617,277,280,158
1618,276,281,157
1619,279,281,158
1620,279,281,157
1621,278,280,158
1622,278,281,158
1623,278,281,156
1624,279,281,156
1625,279,281,158
1626,278,281,158
1627,276,281,157
1628,279,281,156
1629,279,281,157
1630,277,278,158
1631,277,281,158
1632,278,281,157
1633,279,281,155
1634,279,281,158
1635,278,281,158
1636,276,281,157
1637,279,281,157
1638,279,281,156
1639,277,280,158
1640,277,282,157
1641,278,281,156
1642,279,281,155
1643,278,281,158
1644,277,281,158
1645,276,281,157
1646,278,281,156
1647,279,281,157
1648,277,280,158
1649,277,281,158
1650,278,281,156
1651,279,281,155
1652,278,281,158
1653,277,281,158
1654,276,280,157
1655,279,281,156
1656,279,281,157
1657,278,279,158
1658,277,280,158
1659,279,280,157
1660,279,280,155
