time,x,y,z
1264,277,281,159
1265,277,279,156
1266,279,280,156
1267,279,281,158
1268,277,280,158
1269,277,281,157
1270,279,281,156
1271,279,280,156
1272,279,281,157
1273,277,281,158
1274,278,280,156
1275,279,280,156
1276,279,281,158
1277,278,280,158
1278,277,281,157
1279,279,280,156
1280,279,280,157
1281,278,280,158
1282,277,281,159
1283,279,280,156
1284,279,281,156
1285,277,281,158
1286,277,281,158
1287,277,281,157
1288,279,281,156
1289,279,281,157
1290,277,280,158
1291,277,281,158
1292,278,281,156
1293,278,281,155
1294,279,281,158
1295,277,281,158
1296,276,281,157
1297,279,281,156
1298,279,281,157
1299,277,280,158
1300,277,281,158
1301,278,281,156
1302,279,280,155
1303,279,282,158
1304,279,281,158
1305,276,281,157
1306,278,281,156
1307,279,281,157
1308,277,280,158
1309,277,281,158
1310,278,280,156
1311,279,280,155
1312,278,281,158
1313,277,281,158
1314,276,280,157
1315,279,281,156
1316,279,281,157
1317,277,280,158
1318,277,281,158
1319,278,280,156
1320,279,280,155
1321,278,281,158
1322,277,281,158
1323,276,281,156
1324,278,281,156
1325,279,280,157
1326,277,279,158
1327,277,281,158
1328,279,280,156
1329,278,280,155
1330,278,281,158
1331,277,280,158
1332,276,280,157
1333,278,280,156
1334,279,280,157
1335,277,279,158
1336,277,281,158
1337,279,280,156
1338,279,281,155
1339,278,281,158
1340,277,281,158
1341,276,281,157
1342,279,281,155
1343,279,281,157
1344,277,279,158
1345,277,281,158
1346,278,280,156
1347,279,280,155
1348,278,281,158
1349,277,281,158
1350,277,281,156
1351,279,280,156
1352,279,281,157
1353,278,280,158
1354,278,280,157
1355,278,281,156
1356,279,280,155
1357,278,281,158
1358,277,280,158
1359,276,281,157
1360,279,280,156
1361,279,281,157
1362,278,279,158
1363,277,281,157
1364,279,281,156
1365,279,280,155
1366,278,281,158
1367,277,281,159
1368,276,281,156
1369,279,281,156
1370,279,281,158
1371,277,280,158
1372,277,281,157
1373,279,280,156
1374,278,280,155
1375,278,280,158
1376,277,281,159
1377,277,281,156
1378,279,281,156
1379,279,278,158
1380,277,280,158
1381,277,281,157
1382,279,281,156
1383,279,280,155
1384,278,279,158
1385,277,281,158
1386,277,281,156
1387,279,281,156
1388,279,278,158
1389,277,280,158
1390,277,281,157
1391,278,281,156
1392,279,281,156
1393,278,281,158
1394,277,281,159
1395,276,280,157
1396,279,280,156
1397,279,281,158
1398,277,280,158
1399,278,281,157
1400,279,282,156
1401,279,281,156
1402,278,281,158
1403,277,281,159
1404,277,281,156
1405,278,280,156
1406,279,281,158
1407,277,280,158
1408,277,280,157
1409,279,281,156
1410,279,280,156
1411,277,281,158
1412,277,281,159
1413,279,281,156
1414,279,280,155
1415,279,281,158
1416,277,280,158
1417,276,281,157
1418,279,281,156
1419,279,280,156
1420,277,281,158
1421,277,281,159
1422,277,280,155
1423,279,280,156
1424,279,281,157
1425,278,280,158
1426,277,281,157
1427,279,281,156
1428,279,281,156
1429,278,281,158
1430,277,281,158
1431,278,280,156
1432,279,280,156
1433,278,280,158
1434,277,280,158
1435,276,280,157
1436,278,281,156
1437,279,280,157
1438,277,280,158
1439,277,281,159
1440,278,281,157
1441,279,280,156
1442,279,281,158
1443,277,281,158
1444,276,281,157
1445,278,281,156
1446,278,280,157
1447,277,280,158
1448,277,281,158
1449,278,281,156
1450,279,281,156
1451,279,281,158
1452,277,280,158
1453,276,281,157
1454,279,281,156
1455,279,281,157
1456,278,280,158
1457,277,281,158
1458,278,281,156
1459,279,280,155
1460,279,280,158
1461,278,280,158
1462,276,280,157
1463,279,281,156
1464,279,280,157
1465,277,280,158
1466,277,281,158
1467,278,280,156
1468,279,281,155
